Territorio;Età;Value;
Provincia Autonoma Trento;67;6331;
Veneto;67;56027;
Friuli-Venezia Giulia;67;14785;
Emilia-Romagna;67;49885;
Toscana;67;43031;
Umbria;67;10601;
Marche;67;17979;
Abruzzo;67;15580;
Molise;67;3747;
Piemonte;67;52416;
Valle d'Aosta / Vallée d'Aoste;67;1543;
Liguria;67;19007;
Lazio;67;64096;
Campania;67;61505;
Puglia;67;46251;
Basilicata;67;6739;
Calabria;67;22760;
Sicilia;67;55580;
Sardegna;67;21243;
Lombardia;67;109974;
Piemonte;68;52091;
Valle d'Aosta / Vallée d'Aoste;68;1481;
Liguria;68;18341;
Lombardia;68;109155;
Provincia Autonoma Bolzano / Bozen;68;5070;
Provincia Autonoma Trento;68;6187;
Veneto;68;54880;
Friuli-Venezia Giulia;68;14601;
Emilia-Romagna;68;48963;
Toscana;68;42505;
Marche;68;17857;
Lazio;68;62272;
Abruzzo;68;15447;
Molise;68;3882;
Campania;68;59065;
Puglia;68;44198;
Basilicata;68;6650;
Calabria;68;21440;
Sicilia;68;54678;
Sardegna;68;20900;
Umbria;68;9950;
Piemonte;69;51078;
Liguria;69;18336;
Lombardia;69;107699;
Provincia Autonoma Bolzano / Bozen;69;4886;
Provincia Autonoma Trento;69;6010;
Friuli-Venezia Giulia;69;14359;
Emilia-Romagna;69;48063;
Calabria;69;21886;
Sicilia;69;53803;
Sardegna;69;20427;
Valle d'Aosta / Vallée d'Aoste;69;1475;
Veneto;69;53858;
Toscana;69;42188;
Umbria;69;10438;
Marche;69;18012;
Lazio;69;61151;
Abruzzo;69;15410;
Molise;69;3565;
Campania;69;58887;
Puglia;69;45468;
Basilicata;69;6469;
Provincia Autonoma Trento;70;6254;
Veneto;70;55822;
Friuli-Venezia Giulia;70;15232;
Piemonte;70;53054;
Valle d'Aosta / Vallée d'Aoste;70;1473;
Liguria;70;19390;
Lombardia;70;111472;
Provincia Autonoma Bolzano / Bozen;70;4951;
Emilia-Romagna;70;50227;
Toscana;70;43314;
Umbria;70;10547;
Marche;70;18263;
Lazio;70;62432;
Abruzzo;70;15765;
Molise;70;3804;
Campania;70;59475;
Puglia;70;46615;
Basilicata;70;6685;
Calabria;70;22127;
Sicilia;70;55171;
Sardegna;70;20401;
Emilia-Romagna;71;50547;
Veneto;71;54808;
Provincia Autonoma Trento;71;5875;
Basilicata;71;6709;
Provincia Autonoma Bolzano / Bozen;71;4810;
Sardegna;71;19722;
Lombardia;71;111771;
Calabria;71;21980;
Sicilia;71;54994;
Marche;71;17577;
Toscana;71;45048;
Umbria;71;10836;
Lazio;71;61988;
Campania;71;58886;
Puglia;71;46158;
Abruzzo;71;15968;
Molise;71;3968;
Friuli-Venezia Giulia;71;14969;
Piemonte;71;53245;
Valle d'Aosta / Vallée d'Aoste;71;1536;
Liguria;71;19538;
Liguria;72;20543;
Lombardia;72;114923;
Provincia Autonoma Bolzano / Bozen;72;4976;
Provincia Autonoma Trento;72;5968;
Veneto;72;56035;
Friuli-Venezia Giulia;72;15833;
Emilia-Romagna;72;52986;
Toscana;72;47593;
Umbria;72;11468;
Marche;72;18006;
Lazio;72;64758;
Piemonte;72;55638;
Valle d'Aosta / Vallée d'Aoste;72;1559;
Abruzzo;72;16088;
Molise;72;3838;
Campania;72;59776;
Puglia;72;48511;
Basilicata;72;6838;
Calabria;72;22042;
Sicilia;72;56411;
Sardegna;72;19912;
Piemonte;73;54007;
Valle d'Aosta / Vallée d'Aoste;73;1461;
Liguria;73;20945;
Lombardia;73;110497;
Provincia Autonoma Bolzano / Bozen;73;4718;
Provincia Autonoma Trento;73;5807;
Veneto;73;54256;
Friuli-Venezia Giulia;73;15706;
Emilia-Romagna;73;52284;
Toscana;73;47271;
Umbria;73;10570;
Marche;73;17285;
Lazio;73;63544;
Abruzzo;73;15113;
Molise;73;3621;
Campania;73;56967;
Puglia;73;45198;
Basilicata;73;6175;
Calabria;73;21223;
Sicilia;73;55078;
Sardegna;73;18919;
Piemonte;74;52212;
Valle d'Aosta / Vallée d'Aoste;74;1361;
Liguria;74;20899;
Lombardia;74;112705;
Provincia Autonoma Bolzano / Bozen;74;5105;
Provincia Autonoma Trento;74;6097;
Veneto;74;58174;
Friuli-Venezia Giulia;74;16385;
Emilia-Romagna;74;52590;
Toscana;74;47091;
Umbria;74;10076;
Marche;74;17198;
Lazio;74;61165;
Abruzzo;74;14554;
Molise;74;3344;
Campania;74;56773;
Puglia;74;44122;
Basilicata;74;5558;
Calabria;74;19269;
Sicilia;74;49793;
Sardegna;74;17528;
Piemonte;75;39559;
Valle d'Aosta / Vallée d'Aoste;75;1043;
Liguria;75;14986;
Lombardia;75;82179;
Provincia Autonoma Bolzano / Bozen;75;3727;
Provincia Autonoma Trento;75;4214;
Veneto;75;39484;
Friuli-Venezia Giulia;75;11071;
Emilia-Romagna;75;36742;
Toscana;75;36230;
Umbria;75;8049;
Marche;75;14092;
Lazio;75;47230;
Abruzzo;75;10811;
Molise;75;2598;
Campania;75;45592;
Puglia;75;36879;
Basilicata;75;4329;
Calabria;75;14883;
Sicilia;75;41691;
Sardegna;75;16267;
Piemonte;76;41898;
Valle d'Aosta / Vallée d'Aoste;76;1118;
Liguria;76;16774;
Lombardia;76;86828;
Provincia Autonoma Bolzano / Bozen;76;4357;
Provincia Autonoma Trento;76;4672;
Veneto;76;45096;
Friuli-Venezia Giulia;76;13036;
Emilia-Romagna;76;40660;
Toscana;76;35733;
Umbria;76;8443;
Marche;76;13460;
Lazio;76;46863;
Abruzzo;76;11487;
Molise;76;2512;
Campania;76;38475;
Puglia;76;32836;
Basilicata;76;4221;
Calabria;76;14720;
Sicilia;76;39374;
Sardegna;76;15733;
Piemonte;77;41088;
Valle d'Aosta / Vallée d'Aoste;77;1171;
Lombardia;77;84568;
Veneto;77;45252;
Sardegna;77;14958;
Liguria;77;16136;
Provincia Autonoma Bolzano / Bozen;77;4681;
Provincia Autonoma Trento;77;4737;
Friuli-Venezia Giulia;77;12652;
Emilia-Romagna;77;39824;
Toscana;77;35383;
Umbria;77;8749;
Marche;77;14011;
Lazio;77;48197;
Abruzzo;77;10986;
Molise;77;2321;
Campania;77;40833;
Puglia;77;32335;
Basilicata;77;4129;
Calabria;77;14305;
Sicilia;77;36893;
Piemonte;78;40864;
Valle d'Aosta / Vallée d'Aoste;78;1140;
Liguria;78;16228;
Lombardia;78;84774;
Provincia Autonoma Bolzano / Bozen;78;4529;
Provincia Autonoma Trento;78;4639;
Veneto;78;43251;
Friuli-Venezia Giulia;78;12565;
Emilia-Romagna;78;38469;
Toscana;78;33466;
Umbria;78;7926;
Marche;78;13108;
Lazio;78;46075;
Abruzzo;78;10512;
Molise;78;2251;
Campania;78;38176;
Puglia;78;32478;
Basilicata;78;4054;
Calabria;78;14034;
Sicilia;78;35905;
Sardegna;78;15122;
Piemonte;79;40637;
Valle d'Aosta / Vallée d'Aoste;79;1132;
Liguria;79;16552;
Lombardia;79;84970;
Provincia Autonoma Bolzano / Bozen;79;4482;
Provincia Autonoma Trento;79;4507;
Veneto;79;42076;
Friuli-Venezia Giulia;79;12482;
Emilia-Romagna;79;38673;
Toscana;79;33951;
Umbria;79;7946;
Marche;79;12967;
Lazio;79;45607;
Abruzzo;79;10337;
Molise;79;2440;
Campania;79;35905;
Puglia;79;30266;
Basilicata;79;3992;
Calabria;79;13289;
Sicilia;79;35240;
Sardegna;79;13715;
Toscana;80;37128;
Umbria;80;8693;
Marche;80;14419;
Lazio;80;49023;
Abruzzo;80;11561;
Molise;80;2730;
Campania;80;38278;
Puglia;80;31981;
Basilicata;80;4593;
Calabria;80;14893;
Sicilia;80;38963;
Sardegna;80;14824;
Piemonte;80;43370;
Valle d'Aosta / Vallée d'Aoste;80;1169;
Liguria;80;17412;
Lombardia;80;89950;
Provincia Autonoma Bolzano / Bozen;80;3967;
Provincia Autonoma Trento;80;4479;
Veneto;80;43330;
Friuli-Venezia Giulia;80;12816;
Emilia-Romagna;80;41388;
Piemonte;81;42060;
Valle d'Aosta / Vallée d'Aoste;81;1056;
Liguria;81;16722;
Lombardia;81;85609;
Provincia Autonoma Bolzano / Bozen;81;3883;
Provincia Autonoma Trento;81;4140;
Veneto;81;41293;
Friuli-Venezia Giulia;81;11910;
Emilia-Romagna;81;39791;
Toscana;81;34992;
Umbria;81;8310;
Marche;81;14394;
Lazio;81;45943;
Abruzzo;81;11397;
Molise;81;2815;
Campania;81;36305;
Puglia;81;30826;
Basilicata;81;4663;
Calabria;81;14079;
Sicilia;81;36334;
Sardegna;81;13544;
Piemonte;82;39728;
Valle d'Aosta / Vallée d'Aoste;82;1052;
Liguria;82;15862;
Lombardia;82;80173;
Provincia Autonoma Bolzano / Bozen;82;3435;
Provincia Autonoma Trento;82;3851;
Veneto;82;38317;
Friuli-Venezia Giulia;82;11017;
Emilia-Romagna;82;38356;
Toscana;82;34102;
Umbria;82;8208;
Marche;82;14041;
Lazio;82;42686;
Abruzzo;82;10067;
Molise;82;2331;
Puglia;82;28145;
Basilicata;82;4311;
Calabria;82;12920;
Sicilia;82;33445;
Sardegna;82;11901;
Campania;82;32271;
Valle d'Aosta / Vallée d'Aoste;83;910;
Lombardia;83;69123;
Piemonte;83;34798;
Veneto;83;33460;
Lazio;83;38010;
Liguria;83;14238;
Marche;83;12188;
Provincia Autonoma Bolzano / Bozen;83;2995;
Provincia Autonoma Trento;83;3366;
Friuli-Venezia Giulia;83;9711;
Emilia-Romagna;83;33199;
Toscana;83;29721;
Umbria;83;7046;
Abruzzo;83;9654;
Molise;83;2263;
Campania;83;29346;
Puglia;83;25575;
Basilicata;83;4146;
Calabria;83;11940;
Sicilia;83;28755;
Sardegna;83;10676;
Campania;84;25892;
Piemonte;84;30659;
Valle d'Aosta / Vallée d'Aoste;84;774;
Liguria;84;12540;
Lombardia;84;59954;
Provincia Autonoma Bolzano / Bozen;84;2729;
Provincia Autonoma Trento;84;3041;
Veneto;84;29558;
Friuli-Venezia Giulia;84;8584;
Emilia-Romagna;84;29000;
Toscana;84;25921;
Marche;84;10743;
Lazio;84;33851;
Abruzzo;84;8592;
Molise;84;2189;
Puglia;84;22542;
Basilicata;84;3761;
Calabria;84;11239;
Sicilia;84;26734;
Sardegna;84;9911;
Umbria;84;6243;
Piemonte;85;29189;
Valle d'Aosta / Vallée d'Aoste;85;686;
Liguria;85;11751;
Lombardia;85;57819;
Provincia Autonoma Bolzano / Bozen;85;2446;
Provincia Autonoma Trento;85;2939;
Veneto;85;28256;
Friuli-Venezia Giulia;85;7905;
Emilia-Romagna;85;29008;
Toscana;85;25289;
Marche;85;10637;
Lazio;85;32172;
Abruzzo;85;8250;
Molise;85;2066;
Umbria;85;6078;
Campania;85;24617;
Puglia;85;21450;
Basilicata;85;3503;
Calabria;85;10623;
Sicilia;85;25116;
Sardegna;85;8664;
Piemonte;86;25773;
Liguria;86;10564;
Lombardia;86;50773;
Provincia Autonoma Bolzano / Bozen;86;2341;
Provincia Autonoma Trento;86;2590;
Valle d'Aosta / Vallée d'Aoste;86;607;
Veneto;86;25615;
Friuli-Venezia Giulia;86;6849;
Emilia-Romagna;86;26603;
Toscana;86;22046;
Umbria;86;5572;
Marche;86;9421;
Lazio;86;28751;
Abruzzo;86;7352;
Molise;86;1966;
Campania;86;21392;
Puglia;86;19424;
Basilicata;86;3335;
Calabria;86;9636;
Sicilia;86;23353;
Sardegna;86;8448;
Piemonte;87;22488;
Valle d'Aosta / Vallée d'Aoste;87;590;
Liguria;87;9623;
Lombardia;87;44678;
Provincia Autonoma Bolzano / Bozen;87;2161;
Provincia Autonoma Trento;87;2313;
Veneto;87;21475;
Friuli-Venezia Giulia;87;6126;
Emilia-Romagna;87;22968;
Toscana;87;19775;
Umbria;87;5064;
Marche;87;8396;
Lazio;87;25042;
Abruzzo;87;6894;
Molise;87;1760;
Campania;87;19642;
Puglia;87;17080;
Basilicata;87;2979;
Calabria;87;8975;
Sicilia;87;20734;
Sardegna;87;7716;
Piemonte;88;20129;
Valle d'Aosta / Vallée d'Aoste;88;488;
Liguria;88;8770;
Lombardia;88;39915;
Provincia Autonoma Trento;88;2099;
Veneto;88;19373;
Friuli-Venezia Giulia;88;5501;
Molise;88;1467;
Campania;88;16903;
Puglia;88;14955;
Basilicata;88;2461;
Calabria;88;7705;
Sicilia;88;17337;
Provincia Autonoma Bolzano / Bozen;88;1900;
Emilia-Romagna;88;19760;
Toscana;88;17370;
Umbria;88;4218;
Marche;88;7090;
Lazio;88;21557;
Abruzzo;88;5743;
Sardegna;88;6582;
Basilicata;89;2138;
Calabria;89;6575;
Sicilia;89;15195;
Sardegna;89;5582;
Valle d'Aosta / Vallée d'Aoste;89;463;
Liguria;89;7631;
Piemonte;89;17747;
Lombardia;89;34530;
Provincia Autonoma Bolzano / Bozen;89;1635;
Provincia Autonoma Trento;89;1869;
Veneto;89;16959;
Friuli-Venezia Giulia;89;4798;
Emilia-Romagna;89;17844;
Toscana;89;15775;
Umbria;89;4010;
Marche;89;6718;
Lazio;89;19125;
Abruzzo;89;5212;
Molise;89;1294;
Campania;89;14486;
Puglia;89;13037;
Piemonte;90;15886;
Valle d'Aosta / Vallée d'Aoste;90;441;
Liguria;90;7037;
Lombardia;90;30193;
Provincia Autonoma Bolzano / Bozen;90;1440;
Provincia Autonoma Trento;90;1721;
Veneto;90;15255;
Friuli-Venezia Giulia;90;4475;
Emilia-Romagna;90;16174;
Toscana;90;14141;
Umbria;90;3540;
Marche;90;5814;
Lazio;90;17380;
Abruzzo;90;4831;
Molise;90;1269;
Campania;90;12800;
Puglia;90;11767;
Basilicata;90;1971;
Calabria;90;5768;
Sicilia;90;14040;
Sardegna;90;5143;
Piemonte;91;12442;
Valle d'Aosta / Vallée d'Aoste;91;335;
Liguria;91;5620;
Provincia Autonoma Trento;91;1362;
Toscana;91;11223;
Umbria;91;2767;
Marche;91;4485;
Lazio;91;13287;
Abruzzo;91;3669;
Molise;91;958;
Campania;91;9826;
Puglia;91;8850;
Basilicata;91;1565;
Calabria;91;4506;
Sicilia;91;10207;
Sardegna;91;4120;
Lombardia;91;23895;
Provincia Autonoma Bolzano / Bozen;91;1113;
Veneto;91;11795;
Friuli-Venezia Giulia;91;3501;
Emilia-Romagna;91;12752;
Umbria;92;2253;
Marche;92;3856;
Lazio;92;10598;
Campania;92;7891;
Abruzzo;92;2935;
Molise;92;749;
Puglia;92;7221;
Basilicata;92;1186;
Calabria;92;3607;
Sicilia;92;8365;
Sardegna;92;3402;
Piemonte;92;9570;
Valle d'Aosta / Vallée d'Aoste;92;274;
Liguria;92;4517;
Lombardia;92;18967;
Provincia Autonoma Bolzano / Bozen;92;896;
Provincia Autonoma Trento;92;1146;
Veneto;92;9911;
Friuli-Venezia Giulia;92;2857;
Emilia-Romagna;92;10601;
Toscana;92;9322;
Piemonte;93;7720;
Valle d'Aosta / Vallée d'Aoste;93;213;
Liguria;93;3550;
Lombardia;93;15165;
Provincia Autonoma Bolzano / Bozen;93;747;
Provincia Autonoma Trento;93;944;
Veneto;93;8175;
Friuli-Venezia Giulia;93;2405;
Emilia-Romagna;93;8669;
Toscana;93;7468;
Umbria;93;1943;
Marche;93;3213;
Lazio;93;8440;
Abruzzo;93;2471;
Molise;93;669;
Campania;93;5948;
Puglia;93;5926;
Basilicata;93;999;
Calabria;93;2820;
Sicilia;93;6247;
Sardegna;93;2575;
Calabria;94;2269;
Sicilia;94;4983;
Piemonte;94;5701;
Valle d'Aosta / Vallée d'Aoste;94;155;
Liguria;94;2755;
Lombardia;94;11399;
Provincia Autonoma Bolzano / Bozen;94;554;
Provincia Autonoma Trento;94;714;
Veneto;94;6106;
Friuli-Venezia Giulia;94;1909;
Emilia-Romagna;94;6662;
Toscana;94;5802;
Umbria;94;1458;
Marche;94;2446;
Sardegna;94;2066;
Lazio;94;6653;
Abruzzo;94;1789;
Molise;94;503;
Campania;94;4452;
Puglia;94;4281;
Basilicata;94;737;
Piemonte;95;4155;
Valle d'Aosta / Vallée d'Aoste;95;124;
Liguria;95;2092;
Lombardia;95;8643;
Provincia Autonoma Bolzano / Bozen;95;467;
Provincia Autonoma Trento;95;539;
Veneto;95;4676;
Friuli-Venezia Giulia;95;1475;
Emilia-Romagna;95;5260;
Toscana;95;4306;
Umbria;95;1158;
Marche;95;1904;
Lazio;95;4792;
Abruzzo;95;1393;
Molise;95;344;
Campania;95;3358;
Puglia;95;3107;
Basilicata;95;525;
Calabria;95;1661;
Sicilia;95;3707;
Sardegna;95;1404;
Piemonte;96;3053;
Valle d'Aosta / Vallée d'Aoste;96;69;
Puglia;96;2226;
Basilicata;96;365;
Calabria;96;1286;
Sicilia;96;2824;
Sardegna;96;1119;
Liguria;96;1501;
Lombardia;96;6203;
Provincia Autonoma Bolzano / Bozen;96;328;
Provincia Autonoma Trento;96;409;
Veneto;96;3333;
Friuli-Venezia Giulia;96;1135;
Emilia-Romagna;96;3823;
Toscana;96;3294;
Umbria;96;858;
Marche;96;1311;
Lazio;96;3672;
Abruzzo;96;1061;
Molise;96;294;
Campania;96;2390;
Piemonte;97;2279;
Valle d'Aosta / Vallée d'Aoste;97;60;
Liguria;97;1071;
Lombardia;97;4441;
Sardegna;97;762;
Provincia Autonoma Bolzano / Bozen;97;223;
Provincia Autonoma Trento;97;351;
Veneto;97;2462;
Friuli-Venezia Giulia;97;827;
Emilia-Romagna;97;2758;
Toscana;97;2381;
Umbria;97;548;
Marche;97;974;
Lazio;97;2664;
Abruzzo;97;734;
Molise;97;212;
Basilicata;97;313;
Campania;97;1748;
Puglia;97;1716;
Calabria;97;882;
Sicilia;97;1862;
Piemonte;98;1558;
Valle d'Aosta / Vallée d'Aoste;98;40;
Liguria;98;821;
Lombardia;98;2998;
Provincia Autonoma Bolzano / Bozen;98;181;
Provincia Autonoma Trento;98;233;
Veneto;98;1660;
Friuli-Venezia Giulia;98;573;
Emilia-Romagna;98;1892;
Toscana;98;1606;
Umbria;98;363;
Marche;98;645;
Lazio;98;1823;
Abruzzo;98;534;
Molise;98;159;
Campania;98;1179;
Puglia;98;1165;
Basilicata;98;210;
Calabria;98;577;
Sicilia;98;1289;
Sardegna;98;561;
Sicilia;99;825;
Sardegna;99;352;
Piemonte;99;1027;
Valle d'Aosta / Vallée d'Aoste;99;25;
Liguria;99;503;
Lombardia;99;2072;
Provincia Autonoma Bolzano / Bozen;99;107;
Provincia Autonoma Trento;99;147;
Veneto;99;1100;
Friuli-Venezia Giulia;99;462;
Emilia-Romagna;99;1313;
Umbria;99;255;
Marche;99;440;
Lazio;99;1311;
Abruzzo;99;382;
Toscana;99;1103;
Molise;99;107;
Campania;99;811;
Puglia;99;704;
Basilicata;99;156;
Calabria;99;400;
Provincia Autonoma Bolzano / Bozen;100;122;
Provincia Autonoma Trento;100;164;
Veneto;100;1328;
Emilia-Romagna;100;1603;
Piemonte;100;1204;
Valle d'Aosta / Vallée d'Aoste;100;34;
Liguria;100;733;
Lombardia;100;2536;
Friuli-Venezia Giulia;100;515;
Toscana;100;1290;
Umbria;100;325;
Marche;100;543;
Lazio;100;1606;
Abruzzo;100;487;
Molise;100;133;
Campania;100;1072;
Puglia;100;1002;
Basilicata;100;165;
Calabria;100;559;
Sicilia;100;1167;
Sardegna;100;568;
